Title,Year,Duration,Genre,Certificate,Ratings,Votes
The Baby-Sitters Club,(2020– ),None,"
Short, Adventure, Comedy            ",None,7.4,"3,228"
We're the Millers,(2013),110 min,"
Comedy, Crime            ",R,7.0,"425,029"
Archer,(2009– ),22 min,"
Animation, Action, Comedy            ",None,8.6,"145,456"
Jennifer's Body,(2009),102 min,"
Comedy, Horror            ",R,5.3,"126,496"
Trick 'r Treat,(2007),82 min,"
Comedy, Horror            ",R,6.8,"87,718"
On My Block,(2018–2021),30 min,"
Comedy, Drama            ",None,8.0,"14,203"
Clifford the Big Red Dog,(2021),97 min,"
Animation, Adventure, Comedy            ",PG,None,None
Good Girls,(2018–2021),43 min,"
Comedy, Crime, Drama            ",None,7.8,"44,728"
The Umbrella Academy,(2019– ),60 min,"
Action, Adventure, Comedy            ",None,8.0,"184,240"
Going in Style,(2017),96 min,"
Comedy, Crime            ",PG-13,6.6,"81,406"
South Park,(1997– ),22 min,"
Animation, Comedy            ",None,8.7,"345,916"
The Goonies,(1985),114 min,"
Adventure, Comedy, Family            ",None,7.8,"257,247"
Cobra Kai,(2018– ),30 min,"
Action, Comedy, Drama            ",None,8.6,"128,331"
The Orville,(2017– ),44 min,"
Adventure, Comedy, Drama            ",None,8.0,"64,788"
The Starling,(2021),102 min,"
Comedy, Drama            ",PG-13,6.3,"8,227"
Reservation Dogs,(2021– ),30 min,"
Comedy, Crime            ",None,8.1,"6,598"
Hubie Halloween,(2020),103 min,"
Comedy, Mystery            ",PG-13,5.2,"45,119"
Star Trek: Lower Decks,(2020– ),25 min,"
Animation, Action, Adventure            ",None,7.2,"12,744"
The Great,(2020– ),45 min,"
Biography, Comedy, Drama            ",None,8.1,"23,840"
Don't Look Up,(2021),145 min,"
Comedy, Drama, Sci-Fi            ",R,None,None
Cinderella,(I) (2021),113 min,"
Adventure, Comedy, Family            ",PG,4.2,"34,841"
Bob's Burgers,(2011– ),22 min,"
Animation, Comedy            ",None,8.1,"71,685"
Sex/Life,(2021– ),None,"
Comedy, Drama, Romance            ",None,5.3,"16,920"
