Title,Year,Duration,Genre,Certificate,Ratings,Votes
The Perfect Score,(2004),93 min,"
Comedy, Crime, Drama            ",PG-13,5.7,"24,701"
Ali G Indahouse,(2002),85 min,"
Comedy            ",R,6.2,"88,841"
Mixte,(2021– ),None,"
Comedy, Drama            ",None,8.0,571
Ben 10: Alien Force,(2008–2010),22 min,"
Animation, Action, Adventure            ",None,7.3,"8,578"
The Money Pit,(1986),91 min,"
Comedy            ",None,6.4,"54,970"
The Producers,(2005),134 min,"
Comedy, Crime, Musical            ",PG-13,6.4,"42,073"
The Inbetweeners Movie,(2011),97 min,"
Comedy            ",R,6.7,"80,826"
L'incredibile storia dell'Isola delle Rose,(2020),117 min,"
Adventure, Comedy, Drama            ",None,7.0,"17,489"
Spies Like Us,(1985),102 min,"
Adventure, Comedy            ",None,6.4,"47,728"
Philomena,(2013),98 min,"
Biography, Comedy, Drama            ",PG-13,7.6,"97,437"
Tragedy Girls,(2017),98 min,"
Comedy, Crime, Horror            ",R,6.0,"9,553"
The Gods Must Be Crazy,(1980),109 min,"
Adventure, Comedy            ",None,7.3,"54,488"
Observe and Report,(2009),86 min,"
Comedy, Crime, Drama            ",R,5.8,"62,257"
The Baby-Sitters Club,(1990),366 min,"
Adventure, Comedy, Family            ",None,7.5,605
Outlaw Blues,(1977),100 min,"
Action, Comedy, Drama            ",None,6.0,422
Sabrina,(1954),113 min,"
Comedy, Drama, Romance            ",None,7.6,"62,352"
Pooreun Badaui Junsul,(2016–2017),60 min,"
Comedy, Fantasy, Romance            ",None,8.1,"7,247"
"Mektoub, My Love: Canto Uno",(2017),181 min,"
Comedy, Romance            ",None,6.5,"3,359"
St. Trinian's,(2007),101 min,"
Comedy, Family            ",PG-13,5.8,"22,110"
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,(1991),88 min,"
Action, Adventure, Comedy            ",None,6.0,"53,873"
There Was a Crooked Man...,(1970),126 min,"
Comedy, Western            ",R,6.9,"4,437"
Pygmalion,(1938),96 min,"
Comedy, Drama, Romance            ",None,7.8,"8,417"
Go,(1999),102 min,"
Comedy, Crime            ",R,7.2,"70,120"
Bored to Death,(2009–2011),28 min,"
Comedy, Crime, Drama            ",None,7.9,"32,567"
Reality Bites,(1994),99 min,"
Comedy, Drama, Romance            ",PG-13,6.6,"48,209"
Finding Alice,(2021– ),46 min,"
Comedy, Drama            ",None,5.8,"1,726"
The Sleepover,(2020),100 min,"
Action, Adventure, Comedy            ",None,5.7,"9,511"
It Takes Two,(1995),101 min,"
Comedy, Family, Romance            ",PG,5.9,"21,939"
Dad's Army,(1968–1977),30 min,"
Comedy, War            ",None,8.1,"6,070"
Singles,(1992),99 min,"
Comedy, Drama, Music            ",PG-13,6.7,"29,107"
Aloha,(I) (2015),105 min,"
Comedy, Drama, Romance            ",PG-13,5.4,"65,038"
No Offence,(I) (2015–2018),42 min,"
Comedy, Crime, Drama            ",None,8.0,"4,886"
Awkward.,(2011–2016),22 min,"
Comedy, Drama, Romance            ",None,7.5,"43,527"
The War of the Roses,(1989),116 min,"
Comedy, Romance            ",None,6.8,"51,018"
Miracle on 34th Street,(1947),96 min,"
Comedy, Drama, Family            ",None,7.9,"44,219"
Confessions of a Dangerous Mind,(2002),113 min,"
Biography, Comedy, Crime            ",R,7.0,"86,593"
A Nice Girl Like You,(2020),94 min,"
Comedy, Romance            ",R,5.2,"3,846"
Harlem Nights,(1989),116 min,"
Comedy, Crime, Drama            ",None,6.1,"21,833"
Zombie Strippers!,(2008),94 min,"
Comedy, Horror, Sci-Fi            ",R,4.1,"18,130"
Penguins of Madagascar,(2014),92 min,"
Animation, Adventure, Comedy            ",PG,6.7,"85,348"
Without a Paddle,(2004),95 min,"
Adventure, Comedy, Mystery            ",PG-13,5.9,"45,810"
Rio 2,(2014),101 min,"
Animation, Adventure, Comedy            ",G,6.3,"85,352"
Tangled: The Series,(2017–2020),21 min,"
Animation, Action, Adventure            ",None,7.7,"2,409"
The Knack ...and How to Get It,(1965),85 min,"
Comedy            ",None,6.5,"3,224"
The Stepford Wives,(2004),93 min,"
Comedy, Horror, Sci-Fi            ",PG-13,5.3,"64,389"
Kangoku gakuen,(2015–2016),24 min,"
Animation, Comedy            ",None,7.6,"4,831"
Grounded for Life,(2001–2005),22 min,"
Comedy            ",None,7.4,"14,834"
Dragon Rider,(2020),91 min,"
Animation, Adventure, Comedy            ",None,5.6,"1,238"
Nanny McPhee and the Big Bang,(2010),109 min,"
Comedy, Family, Fantasy            ",PG,6.1,"30,858"
Piranha,(1978),94 min,"
Comedy, Horror, Sci-Fi            ",None,5.9,"20,791"
That's So Raven,(2003–2007),30 min,"
Comedy, Family, Fantasy            ",None,6.6,"18,990"
The Quiet Man,(1952),129 min,"
Comedy, Drama, Romance            ",None,7.8,"36,850"
Adieu les cons,(2020),87 min,"
Comedy, Drama            ",None,6.8,"3,551"
The Munsters Today,(1987–1991),30 min,"
Comedy, Sci-Fi            ",None,5.2,537
Lucas,(1986),100 min,"
Comedy, Drama, Romance            ",None,6.9,"15,459"
Lizzie McGuire,(2001–2004),30 min,"
Comedy, Drama, Family            ",None,6.6,"18,414"
Good Grief,(2021– ),None,"
Comedy            ",None,7.0,97
Made in Italy,(2020),94 min,"
Comedy, Drama, Romance            ",R,5.9,"6,858"
"Eerie, Indiana",(1991–1992),30 min,"
Adventure, Comedy, Drama            ",None,8.2,"5,472"
The Life & Times of Tim,(2008–2012),900 min,"
Animation, Comedy            ",None,8.2,"6,207"
You Again,(2010),105 min,"
Comedy, Romance            ",PG,5.8,"50,616"
"Don't Worry, He Won't Get Far on Foot",(2018),114 min,"
Biography, Comedy, Drama            ",R,6.9,"24,639"
Open Season,(2006),86 min,"
Animation, Adventure, Comedy            ",PG,6.1,"91,516"
"South Park: Bigger, Longer & Uncut",(1999),81 min,"
Animation, Comedy, Fantasy            ",R,7.7,"198,841"
Sisters,(III) (2015),118 min,"
Comedy            ",R,6.0,"65,137"
Tammy and the T-Rex,(1994),82 min,"
Comedy, Sci-Fi            ",None,5.2,"3,810"
How High,(2001),93 min,"
Comedy, Fantasy            ",R,6.3,"56,150"
Gnomeo & Juliet,(2011),84 min,"
Animation, Adventure, Comedy            ",None,5.9,"54,293"
Boxing Day,(2021),None,"
Comedy, Romance            ",None,None,None
Match Game 73,(1973–1990),30 min,"
Comedy, Game-Show            ",None,8.2,"1,950"
White Christmas,(1954),120 min,"
Comedy, Musical, Romance            ",None,7.6,"36,628"
My Little Pony: The Movie,(2017),99 min,"
Animation, Adventure, Comedy            ",PG,6.1,"6,658"
BASEketball,(1998),103 min,"
Comedy, Sport            ",R,6.5,"59,586"
The Second Best Exotic Marigold Hotel,(2015),122 min,"
Comedy, Drama, Romance            ",PG,6.6,"32,827"
The Lion King II: Simba's Pride,(1998 Video),81 min,"
Animation, Adventure, Comedy            ",None,6.5,"64,038"
City Lights,(1931),87 min,"
Comedy, Drama, Romance            ",G,8.5,"176,862"
Chhichhore,(2019),143 min,"
Comedy, Drama, Romance            ",None,8.3,"44,977"
I Feel Pretty,(2018),110 min,"
Comedy, Romance            ",PG-13,5.6,"51,999"
Mr. Bean's Holiday,(2007),90 min,"
Comedy, Family            ",G,6.4,"120,883"
Hedwig and the Angry Inch,(2001),95 min,"
Comedy, Drama, Music            ",R,7.7,"34,643"
The Muppet Movie,(1979),95 min,"
Adventure, Comedy, Family            ",None,7.6,"34,634"
Shocker,(1989),109 min,"
Comedy, Horror, Thriller            ",None,5.5,"15,885"
Robin Hood,(2006–2009),60 min,"
Action, Adventure, Comedy            ",None,7.4,"16,329"
Love and Other Disasters,(2006),90 min,"
Comedy, Drama, Romance            ",R,6.2,"14,089"
"Mektoub, My Love: Intermezzo",(2019),212 min,"
Comedy, Drama, Romance            ",None,3.9,400
The Spectacular Spider-Man,(2008–2009),23 min,"
Animation, Action, Adventure            ",None,8.2,"12,085"
The Late Late Show with James Corden,(2015– ),60 min,"
Comedy, Talk-Show            ",None,5.7,"9,419"
Toni Erdmann,(2016),162 min,"
Comedy, Drama            ",R,7.4,"46,676"
The Kissing Booth 2,(2020),134 min,"
Comedy, Romance            ",None,5.7,"27,722"
Thoroughbreds,(2017),92 min,"
Comedy, Crime, Drama            ",R,6.7,"39,400"
American Ultra,(2015),96 min,"
Action, Comedy            ",R,6.1,"88,747"
Life on Top,(2009–2011),30 min,"
Comedy, Drama, Romance            ",None,6.5,517
The Paper Tigers,(2020),108 min,"
Action, Comedy            ",PG-13,6.4,"3,138"
Bad Hair,(2020),102 min,"
Comedy, Horror, Music            ",None,5.6,"3,229"
Beavis and Butt-Head,(1993–2011),15 min,"
Animation, Comedy, Music            ",None,7.5,"29,313"
The Harper House,(2021– ),30 min,"
Animation, Comedy            ",None,5.1,188
Bad Words,(2013),89 min,"
Comedy, Drama            ",R,6.6,"48,563"
Clerks II,(2006),97 min,"
Comedy            ",R,7.3,"132,691"
Bless This Mess,(2019–2020),30 min,"
Comedy            ",None,6.9,"3,558"
Welcome to Marwen,(2018),116 min,"
Biography, Comedy, Drama            ",PG-13,6.2,"22,456"
The Family Stone,(2005),103 min,"
Comedy, Drama, Romance            ",PG-13,6.3,"64,124"
Sangsogjadeul,(2013),55 min,"
Comedy, Drama, Romance            ",None,7.5,"9,153"
Even Stevens,(2000–2003),30 min,"
Comedy, Family            ",None,7.6,"14,190"
Looking,(2014–2015),30 min,"
Comedy, Drama, Romance            ",None,8.2,"17,591"
Poms,(2019),90 min,"
Comedy, Drama, Sport            ",PG-13,6.1,"5,667"
Maverick,(1957–1962),60 min,"
Comedy, Western            ",None,8.0,"2,890"
Big Fat Liar,(2002),88 min,"
Adventure, Comedy, Family            ",PG,5.5,"36,385"
In & Out,(1997),90 min,"
Comedy, Romance            ",PG-13,6.4,"40,616"
National Lampoon's European Vacation,(1985),95 min,"
Adventure, Comedy            ",None,6.2,"62,778"
Love You Like That,(2021),104 min,"
Comedy, Romance            ",None,7.2,21
Paper Towns,(2015),109 min,"
Adventure, Comedy, Drama            ",PG-13,6.2,"99,475"
My Two Dads,(1987–1990),30 min,"
Comedy, Family            ",None,6.2,"3,504"
Camp Nowhere,(1994),96 min,"
Adventure, Comedy, Family            ",PG,6.1,"9,421"
Sundown: The Vampire in Retreat,(1989),104 min,"
Comedy, Horror, Western            ",None,6.1,"2,775"
United States of Tara,(2009–2011),30 min,"
Comedy, Drama, Romance            ",None,7.9,"22,808"
Tangerine,(2015),88 min,"
Comedy, Crime, Drama            ",R,7.1,"29,388"
The Toxic Avenger,(1984),82 min,"
Action, Comedy, Horror            ",None,6.2,"27,694"
The Way,(I) (2010),123 min,"
Comedy, Drama            ",None,7.4,"31,910"
PG Porn,(2008–2009),5 min,"
Short, Comedy            ",None,7.6,"1,414"
Used Cars,(1980),113 min,"
Comedy            ",None,6.8,"14,517"
Airheads,(1994),92 min,"
Comedy, Crime, Music            ",PG-13,6.1,"48,640"
Jamón Jamón,(1992),95 min,"
Comedy, Drama, Romance            ",None,6.4,"13,008"
A Mighty Wind,(2003),91 min,"
Comedy, Music            ",PG-13,7.2,"27,238"
House II: The Second Story,(1987),88 min,"
Comedy, Fantasy, Horror            ",None,5.4,"10,871"
Runaway Bride,(1999),116 min,"
Comedy, Romance            ",PG,5.6,"95,953"
Boo! A Madea Halloween,(2016),103 min,"
Comedy, Drama, Horror            ",PG-13,4.6,"8,213"
Punky Brewster,(1984–1988),30 min,"
Comedy, Family            ",None,6.6,"5,349"
M.O.D.O.K.,(2021– ),22 min,"
Animation, Action, Comedy            ",None,6.3,"3,921"
After the Sunset,(2004),97 min,"
Action, Comedy, Crime            ",PG-13,6.3,"46,219"
The Princess Switch,(2018),101 min,"
Comedy, Drama, Family            ",None,6.1,"24,437"
Someone Great,(2019),92 min,"
Comedy, Romance            ",R,6.2,"20,268"
The Cleveland Show,(2009–2013),22 min,"
Animation, Adventure, Comedy            ",None,5.5,"39,817"
Mike Tyson Mysteries,(2014–2020),12 min,"
Animation, Adventure, Comedy            ",None,8.1,"4,472"
The Bonfire of the Vanities,(1990),125 min,"
Comedy, Drama, Romance            ",R,5.6,"24,351"
Repo Man,(1984),92 min,"
Action, Comedy, Crime            ",None,6.9,"36,013"
Made of Honor,(2008),101 min,"
Comedy, Romance            ",PG-13,5.9,"69,934"
Benny & Joon,(1993),98 min,"
Comedy, Drama, Romance            ",PG,7.2,"56,653"
Unpregnant,(2020),103 min,"
Comedy, Drama            ",PG-13,6.3,"6,485"
This Is the Night,(2021),107 min,"
Comedy, Drama            ",R,5.3,189
Look Who's Talking,(1989),93 min,"
Comedy            ",None,5.9,"80,674"
It Happened One Night,(1934),105 min,"
Comedy, Romance            ",None,8.1,"99,319"
1941,(1979),118 min,"
Action, Comedy, War            ",None,5.8,"32,649"
Just Like Heaven,(2005),95 min,"
Comedy, Drama, Fantasy            ",PG-13,6.7,"103,140"
What Men Want,(2019),117 min,"
Comedy, Fantasy, Romance            ",R,5.3,"26,824"
Tomcats,(2001),95 min,"
Comedy            ",R,5.4,"18,138"
Mastram,(2020– ),20 min,"
Comedy, Fantasy            ",None,7.2,"2,928"
The Whale,,None,"
Comedy, Drama            ",None,None,None
Cheaper by the Dozen,(1950),86 min,"
Comedy, Drama, Family            ",None,7.0,"4,871"
The Smurfs,(2011),103 min,"
Animation, Adventure, Comedy            ",PG,5.4,"87,269"
Zoolander 2,(2016),101 min,"
Action, Adventure, Comedy            ",PG-13,4.7,"67,301"
What to Expect When You're Expecting,(2012),110 min,"
Comedy, Drama, Romance            ",PG-13,5.7,"71,552"
Dance of the Vampires,(1967),108 min,"
Comedy, Horror            ",None,7.2,"30,874"
The Phantom of the Open,(2021),102 min,"
Comedy, Drama, Sport            ",None,8.5,68
Memoirs of an Invisible Man,(1992),99 min,"
Comedy, Romance, Sci-Fi            ",None,6.0,"24,246"
Død snø,(2009),92 min,"
Comedy, Fantasy, Horror            ",None,6.3,"65,880"
Too Close for Comfort,(1980–1987),30 min,"
Comedy            ",None,6.5,"2,080"
Sirens,(1994),98 min,"
Comedy, Drama, Romance            ",R,5.9,"10,568"
Second Act,(2018),103 min,"
Comedy, Drama, Romance            ",PG-13,5.8,"25,258"
The Willoughbys,(2020),90 min,"
Animation, Adventure, Comedy            ",PG,6.4,"16,669"
I Don't Feel at Home in This World Anymore,(2017),93 min,"
Comedy, Crime, Drama            ",None,6.9,"53,496"
The Christmas Chronicles,(2018),104 min,"
Adventure, Comedy, Family            ",PG,7.0,"64,499"
Herman's Head,(1991–1994),30 min,"
Comedy            ",None,7.2,"2,128"
Ôsama Ranking,(2021– ),None,"
Animation, Action, Adventure            ",None,9.4,181
Antz,(1998),83 min,"
Animation, Adventure, Comedy            ",PG,6.5,"150,709"
Meng long guo jiang,(1972),99 min,"
Action, Adventure, Comedy            ",None,7.3,"35,514"
Zookeeper,(2011),102 min,"
Comedy, Family, Fantasy            ",PG,5.2,"59,561"
Black Dynamite,(2009),84 min,"
Action, Comedy            ",R,7.4,"47,678"
The Watch,(I) (2012),102 min,"
Comedy, Sci-Fi            ",R,5.7,"124,665"
Submarine,(2010),97 min,"
Comedy, Drama, Romance            ",R,7.3,"88,397"
Imaginary Friends,(2023),None,"
Comedy, Fantasy            ",None,None,None
The Happytime Murders,(2018),91 min,"
Action, Comedy, Crime            ",R,5.4,"26,559"
Stuck in Love,(2012),97 min,"
Comedy, Drama, Romance            ",R,7.2,"86,152"
Cop Secret,(2021),98 min,"
Action, Comedy            ",None,8.0,243
Holy Water,(2009),94 min,"
Comedy, Crime            ",R,5.9,"2,131"
Mako Mermaids,(2013–2016),30 min,"
Adventure, Comedy, Drama            ",None,6.8,"3,602"
The Producers,(1967),88 min,"
Comedy, Music            ",None,7.6,"54,266"
Grange Hill,(1978–2008),30 min,"
Comedy, Drama, Family            ",None,7.1,"1,330"
Holy Smoke,(1999),115 min,"
Comedy, Drama            ",R,5.9,"14,456"
Cheolinwanghoo,(2020–2021),70 min,"
Comedy, Fantasy, Romance            ",None,8.8,"3,370"
Lady and the Tramp,(1955),76 min,"
Animation, Adventure, Comedy            ",G,7.3,"128,868"
Austin & Ally,(2011–2016),30 min,"
Comedy, Drama, Family            ",None,6.0,"10,468"
Joahamyeon Ullineun,(2019–2021),50 min,"
Comedy, Drama, Romance            ",None,7.0,"4,308"
Aquaslash,(2019),71 min,"
Comedy, Horror            ",None,4.1,"1,940"
Elizabethtown,(2005),123 min,"
Comedy, Drama, Romance            ",PG-13,6.4,"69,166"
Fifty Shades of Black,(2016),92 min,"
Comedy            ",R,3.5,"20,843"
24 Hour Party People,(2002),117 min,"
Biography, Comedy, Drama            ",R,7.3,"36,168"
Zombeavers,(2014),77 min,"
Action, Comedy, Fantasy            ",R,4.8,"17,752"
Bringing Up Baby,(1938),102 min,"
Comedy, Family, Romance            ",None,7.9,"59,223"
Hardbodies,(1984),88 min,"
Comedy            ",None,4.9,"3,389"
Trouble in Paradise,(1932),83 min,"
Comedy, Crime, Romance            ",None,8.0,"13,983"
En man som heter Ove,(2015),116 min,"
Comedy, Drama, Romance            ",PG-13,7.7,"51,199"
Astérix & Obélix: Mission Cléopâtre,(2002),107 min,"
Adventure, Comedy, Family            ",PG,6.7,"51,108"
Problem Child,(1990),81 min,"
Comedy, Family            ",None,5.4,"29,876"
Casanova,(2005),112 min,"
Adventure, Comedy, Drama            ",R,6.5,"53,343"
Co-Ed Confidential,(2007–2010),30 min,"
Comedy, Drama, Romance            ",None,6.5,733
Valley Girl,(2020),102 min,"
Comedy, Musical, Romance            ",PG-13,5.5,"3,283"
Naked,(I) (2017),96 min,"
Comedy, Fantasy, Romance            ",None,5.4,"18,676"
Sinbad: Legend of the Seven Seas,(2003),88 min,"
Animation, Adventure, Comedy            ",PG,6.7,"52,205"
That Girl,(1966–1971),30 min,"
Comedy            ",None,7.1,"2,507"
The Hitchhiker's Guide to the Galaxy,(1981),152 min,"
Adventure, Comedy, Sci-Fi            ",None,8.0,"10,646"
Scooby-Doo and the Witch's Ghost,(1999 Video),66 min,"
Animation, Comedy, Family            ",None,7.3,"7,150"
Igby Goes Down,(2002),98 min,"
Comedy, Drama            ",R,6.9,"32,815"
El robo del siglo,(2020),114 min,"
Action, Biography, Comedy            ",None,7.2,"6,661"
White Gold,(2017–2019),30 min,"
Comedy            ",None,7.4,"10,428"
Nande Koko ni Sensei ga!?,(2019– ),12 min,"
Animation, Comedy, Romance            ",None,6.4,"1,022"
Mayhem,(2017),86 min,"
Action, Comedy, Horror            ",Unrated,6.4,"19,747"
Breakfast on Pluto,(2005),128 min,"
Comedy, Drama            ",R,7.2,"21,831"
Fired Up!,(2009),90 min,"
Comedy, Sport            ",PG-13,6.1,"43,359"
Popular,(1999–2001),60 min,"
Comedy, Drama, Romance            ",None,7.3,"6,356"
Our Idiot Brother,(2011),90 min,"
Comedy, Drama            ",R,6.4,"86,203"
Southland Tales,(2006),145 min,"
Comedy, Drama, Mystery            ",R,5.4,"38,225"
Kevin Can Wait,(2016–2018),30 min,"
Comedy            ",None,5.6,"9,186"
Geunyeoui Sasaenghwal,(2019),75 min,"
Comedy, Romance            ",None,7.7,"2,744"
Saving Silverman,(2001),90 min,"
Comedy, Crime, Romance            ",PG-13,5.9,"39,964"
"See No Evil, Hear No Evil",(1989),103 min,"
Comedy, Crime            ",None,6.9,"52,613"
Hairspray Live!,(2016 TV Movie),120 min,"
Comedy, Drama, Musical            ",None,7.0,"3,325"
Oliver & Company,(1988),74 min,"
Animation, Adventure, Comedy            ",None,6.7,"46,420"
Fathom,(1967),99 min,"
Adventure, Comedy            ",None,5.7,"1,513"
Long Story Short,(2021),90 min,"
Comedy, Fantasy, Romance            ",R,6.5,"1,902"
Eight Is Enough,(1977–1981),60 min,"
Comedy, Drama, Family            ",None,6.5,"2,826"
The Switch,(I) (2010),101 min,"
Comedy, Drama, Romance            ",PG-13,6.1,"101,764"
Admission,(2013),108 min,"
Comedy, Drama, Romance            ",PG-13,5.7,"34,130"
Never Mind the Buzzcocks,(1996–2015),30 min,"
Comedy, Game-Show, Music            ",None,7.8,"5,551"
Shaman King,(2021– ),23 min,"
Animation, Action, Adventure            ",None,7.2,951
Animaniacs,(2020– ),27 min,"
Animation, Short, Adventure            ",None,7.8,"2,542"
The Broken Hearts Gallery,(2020),109 min,"
Comedy, Romance            ",PG-13,6.3,"6,335"
Baekilui Nanggoonnim,(2018),75 min,"
Action, Comedy, History            ",None,7.7,"1,553"
The Double,(2013),93 min,"
Comedy, Drama, Mystery            ",R,6.5,"49,028"
Joheunnom nabbeunnom isanghannom,(2008),139 min,"
Action, Adventure, Comedy            ",R,7.3,"34,861"
Sexify,(2021– ),40 min,"
Comedy, Drama            ",None,6.5,"4,467"
The Layover,(I) (2017),88 min,"
Comedy, Romance            ",R,4.8,"14,210"
Muppets Most Wanted,(2014),107 min,"
Adventure, Comedy, Crime            ",PG,6.4,"33,340"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",(2014),81 min,"
Comedy, Drama, Family            ",PG,6.2,"42,779"
Miss Stevens,(2016),86 min,"
Comedy, Drama            ",None,6.6,"6,378"
Three Men and a Baby,(2022),None,"
Comedy, Drama            ",None,None,None
The Larry Sanders Show,(1992–1998),30 min,"
Comedy            ",None,8.4,"8,054"
The Last American Virgin,(1982),92 min,"
Comedy, Drama, Romance            ",None,6.3,"8,415"
The Guardians of the Galaxy Holiday Special,(2022),None,"
Action, Adventure, Comedy            ",None,None,None
Brockmire,(2017–2020),30 min,"
Comedy, Drama, Sport            ",None,8.0,"5,186"
Leprechaun 3,(1995 Video),90 min,"
Comedy, Fantasy, Horror            ",R,5.0,"7,711"
Zeroville,(2019),96 min,"
Comedy, Drama, Mystery            ",R,4.6,"2,469"
Nashville,(1975),160 min,"
Comedy, Drama, Music            ",None,7.7,"25,336"
Die Hart,(2020– ),78 min,"
Action, Comedy, Thriller            ",None,6.3,"1,605"
Barnyard,(2006),90 min,"
Animation, Adventure, Comedy            ",PG,5.6,"29,617"
Band Camp,(2005 Video),87 min,"
Comedy, Music, Romance            ",R,5.1,"70,474"
Broadcast News,(1987),133 min,"
Comedy, Drama, Romance            ",None,7.2,"29,275"
Cemetery Junction,(2010),95 min,"
Comedy, Drama            ",R,6.8,"21,044"
Clarissa Explains It All,(1991–1994),30 min,"
Comedy, Family            ",None,7.2,"8,601"
2 Days in the Valley,(1996),104 min,"
Comedy, Crime, Thriller            ",R,6.5,"19,292"
Roxanne,(1987),107 min,"
Comedy, Romance            ",None,6.6,"43,107"
Zapped!,(1982),98 min,"
Comedy, Fantasy, Sci-Fi            ",None,5.0,"6,749"
Stick It,(2006),103 min,"
Comedy, Drama, Sport            ",PG-13,6.4,"28,276"
Mentiras y gordas,(2009),107 min,"
Comedy, Drama            ",None,3.8,"2,449"
3000 Miles to Graceland,(2001),125 min,"
Action, Comedy, Crime            ",R,6.0,"45,537"
Boomerang,(1992),117 min,"
Comedy, Drama, Romance            ",R,5.6,"28,668"
Untitled Lakers Project,(2022– ),None,"
Comedy, Drama, Sport            ",None,None,None
Kung Pow: Enter the Fist,(2002),81 min,"
Action, Comedy            ",PG-13,6.2,"45,096"
3 Ninjas,(1992),84 min,"
Action, Comedy, Family            ",PG,5.3,"21,146"
In the Loop,(2009),106 min,"
Comedy            ",None,7.4,"56,481"
Detroit Rock City,(1999),95 min,"
Comedy, Music            ",R,6.9,"38,283"
Breaking Them Up,(2020),95 min,"
Comedy            ",PG-13,5.1,131
Val,(III) (2021),81 min,"
Comedy, Horror, Thriller            ",None,6.1,444
God Friended Me,(2018–2020),43 min,"
Comedy, Drama, Fantasy            ",None,6.9,"6,819"
Hannah Montana: The Movie,(2009),102 min,"
Comedy, Drama, Family            ",None,4.6,"41,303"
The Wedding Date,(2005),90 min,"
Comedy, Romance            ",PG-13,6.2,"50,641"
The Bounty Hunter,(I) (2010),110 min,"
Action, Comedy, Romance            ",PG-13,5.6,"124,785"
TVF Pitchers,(2015),40 min,"
Comedy, Drama            ",None,9.1,"64,378"
The Ladykillers,(2004),104 min,"
Comedy, Crime, Thriller            ",R,6.2,"102,411"
Ballerina,(2016),89 min,"
Animation, Adventure, Comedy            ",PG,6.8,"21,283"
Wilfred,(2011–2014),22 min,"
Comedy, Drama, Mystery            ",None,7.8,"41,276"
Under the Autumn Moon,(2018 TV Movie),120 min,"
Action, Comedy, Drama            ",None,6.5,"1,086"
Mr. Peabody & Sherman,(2014),92 min,"
Animation, Adventure, Comedy            ",PG,6.8,"66,388"
Scrooged,(1988),101 min,"
Comedy, Drama, Fantasy            ",None,7.0,"91,899"
R.L. Stine's Monsterville: Cabinet of Souls,(2015 TV Movie),86 min,"
Comedy, Fantasy, Horror            ",PG,5.7,"2,155"
Return to Mayberry,(1986 TV Movie),95 min,"
Comedy, Romance            ",None,6.9,892
W.,(I) (2008),129 min,"
Biography, Comedy, Drama            ",PG-13,6.3,"47,399"
How to Lose Friends & Alienate People,(2008),110 min,"
Biography, Comedy, Drama            ",R,6.4,"68,833"
Tendres cousines,(1980),92 min,"
Comedy, Drama, Romance            ",None,5.5,"1,631"
Then Came You,(2020),97 min,"
Comedy, Romance            ",PG-13,6.1,"1,527"
Confissões de uma Garota Excluída,(2021),91 min,"
Comedy, Drama            ",None,5.1,594
Drive Me Crazy,(1999),91 min,"
Comedy, Drama, Romance            ",PG-13,5.8,"19,096"
Severance,(2006),96 min,"
Comedy, Horror, Thriller            ",R,6.5,"37,989"
Love & Anarchy,(2020– ),30 min,"
Comedy, Drama, Romance            ",None,7.4,"7,267"
Victor Crowley,(2017),83 min,"
Action, Comedy, Horror            ",None,5.5,"5,524"
Arthur,(1981),97 min,"
Comedy, Romance            ",None,6.9,"27,256"
The Broken Hearts Club: A Romantic Comedy,(2000),94 min,"
Comedy, Drama, Romance            ",None,7.0,"7,487"
Charles in Charge,(1984–1990),30 min,"
Comedy, Family            ",None,6.1,"5,806"
Garfield,(2004),80 min,"
Animation, Adventure, Comedy            ",PG,5.0,"83,163"
Mystery Science Theater 3000,(1988–1999),92 min,"
Comedy, Sci-Fi            ",None,8.5,"23,833"
The Last Drive-In with Joe Bob Briggs,(2018– ),125 min,"
Comedy, Fantasy, Horror            ",None,9.5,"1,184"
Magic in the Moonlight,(2014),97 min,"
Comedy, Drama, Romance            ",PG-13,6.5,"66,487"
Marvel's Guardians of the Galaxy,(2021 Video Game),None,"
Action, Adventure, Comedy            ",None,9.2,301
Kiru ra kiru: KILL la KILL,(2013–2014),25 min,"
Animation, Action, Comedy            ",None,7.9,"12,503"
Duplicity,(2009),125 min,"
Comedy, Crime, Romance            ",PG-13,6.2,"49,515"
I Now Pronounce You Chuck & Larry,(2007),115 min,"
Comedy, Romance            ",PG-13,5.9,"144,286"
Music and Lyrics,(2007),104 min,"
Comedy, Music, Romance            ",PG-13,6.5,"100,742"
Fever Pitch,(2005),104 min,"
Comedy, Drama, Romance            ",PG-13,6.2,"44,194"
A Loud House Christmas,(2021 TV Movie),None,"
Comedy            ",None,None,None
Siu Lam juk kau,(2001),113 min,"
Action, Comedy, Family            ",PG,7.3,"77,571"
Girl Vs. Monster,(2012 TV Movie),89 min,"
Action, Adventure, Comedy            ",None,5.6,"2,971"
Fletch,(1985),98 min,"
Comedy, Crime, Mystery            ",None,6.9,"50,198"
A Haunted House,(2013),86 min,"
Comedy, Fantasy, Horror            ",R,5.0,"45,554"
Crossroads,(I) (2002),93 min,"
Comedy, Drama, Romance            ",PG-13,3.6,"39,581"
Mujeres al borde de un ataque de ,(1988),88 min,"
Comedy, Drama            ",None,7.6,"38,770"
Choke,(2008),92 min,"
Comedy, Drama            ",R,6.4,"32,209"
Drinking Buddies,(2013),90 min,"
Comedy, Drama, Romance            ",R,6.1,"57,292"
